5484,8397,13357,12736,13359,8863,20297,13371,13360,12737,18218,13366,7230,14669,14054,8527,14281,19251,13364,6347
5484,14281,8397,13357,146,227
5484,14281,8397,13357,202,225
8397,13357,12736,14054,123,92
8397,13357,12736,14054,223,165
5484,14281,13359,8863,144,62
5484,14281,13359,8863,124,125
5484,14281,13359,8863,189,126
12736,5484,12737,7230,192,59
13366,19251,8397,13360,0,100
13357,20297,14669,18218,121,78
8527,13364,13359,8863,0,128
14054,6347,13371,14281,36,86
13359,13360,20297,7230,80,53
13357,12737,6347,8863,138,9
13371,18218,8397,5484,70,193
14054,14669,12736,19251,50,106
13364,14281,8527,13366,12,36
6347,13359,14669,8397,7,80
8863,5484,14054,13366,151,91
13360,14281,12736,13357,79,94
18218,7230,19251,13364,34,30
12737,8527,20297,13371,48,89
13360,14669,5484,13364,70,73
8397,13359,14281,12737,209,25
19251,13371,8863,20297,61,76
7230,14054,8527,13357,72,116
13366,12736,6347,18218,90,63
7230,8863,14281,14669,147,82
18218,12737,13360,14054,128,105
13357,13366,13371,13359,150,132
20297,8397,13364,12736,139,94
19251,6347,5484,8527,55,120
