5356,6955,5485,12833,8975,16854,8806,11607,18218,10776,7230,6996,10161,6347,8863,3750,14026,17222
5356,5485,6955,12833,159,213
5356,5485,6955,12833,140,239
6955,12833,8975,16854,197,14
6955,12833,8975,16854,194,78
5356,5485,8806,18218,183,77
5356,5485,8806,18218,161,111
6996,10161,10776,5485,40,116
17222,7230,6347,6955,16,129
8975,14026,12833,11607,46,129
5356,8863,8806,18218,148,69
3750,6347,6955,16854,37,125
8806,10776,17222,8975,35,68
16854,18218,14026,5485,0,58
3750,12833,6996,5356,53,63
7230,11607,8863,10161,62,0
6996,6955,8975,5356,114,133
16854,12833,8863,17222,83,4
5485,8806,3750,7230,150,0
18218,11607,10776,6347,43,2
14026,17222,10161,3750,14,45
6347,8863,8975,5485,55,142
6996,8806,11607,16854,57,96
5356,7230,14026,10776,136,30
12833,6955,10161,18218,201,57
5485,5356,11607,17222,150,0
8975,10776,16854,3750,117,92
8863,6996,6955,14026,42,50
10161,12833,6347,8806,116,30
18218,8975,7230,6996,140,83
