6955,6996,8975,18773,17222,7420,14281,6567,4957,20018,11995,6460,4243,4654,11607,10161,6945,12915,20841,14903,10475
14903,12915,6955,8975,0,181
17222,11607,4243,18773,92,100
4654,14281,6996,20018,44,98
7420,10475,20841,4957,17,57
6567,11995,6945,6460,34,38
10161,10475,18773,8975,16,118
20018,12915,11607,6945,82,43
4957,14903,6567,6996,49,53
6955,4654,20841,17222,76,37
14281,10161,4243,11995,91,0
7420,18773,6955,6460,101,103
10161,12915,17222,10475,83,1
11607,6567,14281,7420,58,64
4243,20018,14903,6460,57,7
20841,6945,8975,6996,0,86
11995,4957,4654,18773,66,61
17222,8975,20018,6567,97,39
11607,20841,11995,14903,56,50
6945,7420,4654,10161,58,63
6460,14281,12915,4957,57,0
6996,6955,10475,4243,183,11
6945,14903,14281,17222,57,83
6460,11607,10475,4654,46,0
8975,4243,11995,7420,77,107
4957,6955,20018,10161,142,34
18773,6567,12915,20841,154,24
6996,17222,10161,11607,148,0
