20228,11995,20807,10475,6454,10949,13585,18773,4243,20203,4654,8490,11205,4809,20841,12331,12414,7486,16700,18,10870,14903,12011
12414,13585,10949,4243,29,69
18773,6454,20203,14903,149,10
11205,4654,12331,20807,56,54
20228,8490,11995,10475,91,108
4809,18,20841,16700,12,44
7486,12011,20807,10870,17,49
8490,20203,20841,4654,63,30
13585,11995,12011,18,92,32
16700,12414,11205,18773,59,77
10949,4809,6454,7486,95,63
12331,14903,20228,4243,0,68
10870,11205,10475,13585,63,42
20228,20807,18,6454,135,82
4654,10475,12414,12011,86,0
14903,16700,7486,8490,49,37
10870,12331,20203,4809,51,59
11995,20841,18773,10949,108,87
4243,20203,10475,20807,96,105
4654,14903,4809,11995,58,81
8490,18773,13585,12331,70,114
18,7486,11205,4243,55,77
10949,20228,16700,12011,64,50
12414,20841,6454,10870,95,26
10475,10949,18,12331,79,78
20807,13585,14903,20841,112,36
20203,20228,7486,12414,146,104
12011,11205,8490,4809,51,77
6454,11995,4243,16700,88,64
10870,18773,4654,20228,0,118
